Device details,,,,,CO2e data,,,,,,,,,,,,,,,,,,,,,,,,,Lifespan data,,,Weight data,,,Notes
ORDS Product Category,Family (as defined by CO2 source),order,model,model (grouped),Primary / CO2 Source (e.g. Manufacturer),Primary / CO2 source - external url,Primary / CO2 source - drive url,filename,Study name,Primary / CO2 Source date,CO2 Footprint (total) kg,,Total Embodied CO2 kg,Total Embodied CO2 % (as % of total footprint),CO2 Footprint (production) kg,CO2 Footprint (production) %,CO2 Footprint (transport) kg,CO2 Footprint (transport) %,CO2 Footprint (use) kg,CO2 Footprint (use) %,CO2 Footprint (EoL) kg,CO2 Footprint (EoL) %,DQI - Temporal representativeness,DQI - Technical representativeness,DQI - Reliability,DQI score - Temporal representativeness,DQI score - Technical representativeness,DQI score - Reliability,DQI score - TOTAL,Lifespan source - drive url,Lifespan source date,Lifespan (years),Weight source - drive url,Weight source date,Product Weight (kg),Notes
Aircon/Dehumidifier,Air Conditioner,15,LP090HED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP090HED1.pdf,https://drive.google.com/file/d/1EI9Qt2tNX9fNpKL_3jHcaxViTmTZMZYa/view?usp=drivesdk,LP090HED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,16,LP0910WNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP0910WNR.pdf,https://drive.google.com/file/d/1Vbg4MPeB18LeiMG_s5fXK7swt7PbdmSI/view?usp=drivesdk,LP0910WNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,17,LP091CEM-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP091CEM-Y8.pdf,https://drive.google.com/file/d/1mDud1HCTpPHj2nHzzPWtVS6mAUybqMkx/view?usp=drivesdk,LP091CEM-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,18,LP091HEM-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP091HEM-Y8.pdf,https://drive.google.com/file/d/1FM7uoaz0B38LygFS_HZNAOWnXCIZy8St/view?usp=drivesdk,LP091HEM-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,19,LP1013WNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1013WNR.pdf,https://drive.google.com/file/d/16GtGgPYLSPu3eqmlc3iGCYUya0d1Jz0O/view?usp=drivesdk,LP1013WNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,20,LP1111WXR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1111WXR.pdf,https://drive.google.com/file/d/1ZJykju6cpFjsoFXQRiRiIh7XJ9lzn-Wq/view?usp=drivesdk,LP1111WXR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,21,LP120CED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP120CED-Y8.pdf,https://drive.google.com/file/d/1sOLThnzPr-T_qKw6rv6jILNCPlm3EyWv/view?usp=drivesdk,LP120CED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,22,LP120CED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP120CED1.pdf,https://drive.google.com/file/d/1Tx_DU7sm5CMx0HanKwGUvmLgk3snOkQk/view?usp=drivesdk,LP120CED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,23,LP120HED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP120HED-Y8.pdf,https://drive.google.com/file/d/1g81BOXcjuxKrMlgplWGo-IhSOocIWtYk/view?usp=drivesdk,LP120HED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,24,LP120HED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP120HED1.pdf,https://drive.google.com/file/d/1hN3-8xe_s90nOxZmEsn4Carr7eYDwbN0/view?usp=drivesdk,LP120HED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,25,LP1213GXR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1213GXR.pdf,https://drive.google.com/file/d/1Dtr5AG-r-Zy-DMsZWmDdPOv10KjhDDFK/view?usp=drivesdk,LP1213GXR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,26,LP121CEM-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP121CEM-Y8.pdf,https://drive.google.com/file/d/1bN7tz7l90iEpAX50_95DyFP7R_gOLPzN/view?usp=drivesdk,LP121CEM-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,27,LP121HEM-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP121HEM-Y8.pdf,https://drive.google.com/file/d/13px2yQUtlyHH1LG767uIwdtesFHdHioi/view?usp=drivesdk,LP121HEM-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,28,LP1311BXR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1311BXR.pdf,https://drive.google.com/file/d/1EGro0RuxJDOY-5Fbsw1vOXM0Q_TMwvc_/view?usp=drivesdk,LP1311BXR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,29,LP1411SHR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1411SHR.pdf,https://drive.google.com/file/d/12D6_q8NYS6JTSKLnrJQnmAgIN37SmciB/view?usp=drivesdk,LP1411SHR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,30,LP1413SHR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP1413SHR.pdf,https://drive.google.com/file/d/1fOE2cpNSgwVvENpJ7C8EHnAF20Em0IH2/view?usp=drivesdk,LP1413SHR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
